date,balance,non-trade,cumm_pnl,daily_return,cumm_returns*
2020-06-20,161214.86,100000.0,61214.86,0.0,51.12938
2020-06-21,161214.86,100000.0,61214.86,0.0,51.12938
2020-06-22,160203.31,100000.0,60203.31,-0.62745,50.50193
2020-06-23,160806.78,100000.0,60806.78,0.37669,50.87862
2020-06-24,157481.68,100000.0,57481.68,-2.06776,48.81085
2020-06-25,160705.91,100000.0,60705.91,2.04737,50.85822
2020-06-26,160705.91,100000.0,60705.91,0.0,50.85822
2020-06-27,160705.91,100000.0,60705.91,0.0,50.85822
2020-06-28,160705.91,100000.0,60705.91,0.0,50.85822
2020-06-29,163368.73,100000.0,63368.73,1.65695,52.51517
2020-06-30,163219.49,100000.0,63219.49,-0.09135,52.42382
2020-07-01,163219.49,100000.0,63219.49,0.0,52.42382
2020-07-02,163126.97,100000.0,63126.97,-0.05668,52.36714
2020-07-03,161543.8,100000.0,61543.8,-0.97051,51.39662
2020-07-04,161543.8,100000.0,61543.8,0.0,51.39662
2020-07-05,161543.8,100000.0,61543.8,0.0,51.39662
2020-07-06,157370.05,100000.0,57370.05,-2.58366,48.81296
2020-07-07,158721.58,100000.0,58721.58,0.85882,49.67178
2020-07-08,158721.58,100000.0,58721.58,0.0,49.67178
2020-07-09,159749.34,100000.0,59749.34,0.64752,50.31931
2020-07-10,159857.75,100000.0,59857.75,0.06786,50.38717
2020-07-11,159857.75,100000.0,59857.75,0.0,50.38717
2020-07-12,159857.75,100000.0,59857.75,0.0,50.38717
2020-07-13,159857.75,100000.0,59857.75,0.0,50.38717
2020-07-14,160272.1,100000.0,60272.1,0.2592,50.64637
2020-07-15,159501.02,100000.0,59501.02,-0.48111,50.16526
2020-07-16,158271.24,100000.0,58271.24,-0.77102,49.39424
2020-07-17,156973.05,100000.0,56973.05,-0.82023,48.57401
2020-07-18,156973.05,100000.0,56973.05,0.0,48.57401
2020-07-19,156973.05,100000.0,56973.05,0.0,48.57401
2020-07-20,155968.29,100000.0,55968.29,-0.64008,47.93393
2020-07-21,157090.59,100000.0,57090.59,0.71957,48.6535
2020-07-22,157805.91,100000.0,57805.91,0.45536,49.10885
2020-07-23,165529.42,100000.0,65529.42,4.89431,54.00316
2020-07-24,165529.42,100000.0,65529.42,0.0,54.00316
2020-07-25,165529.42,100000.0,65529.42,0.0,54.00316
2020-07-26,165529.42,100000.0,65529.42,0.0,54.00316
2020-07-27,191324.72,100000.0,91324.72,15.58351,69.58668
2020-07-28,199477.9,100000.0,99477.9,4.26144,73.84811
2020-07-29,199477.9,100000.0,99477.9,0.0,73.84811
2020-07-30,204343.92,100000.0,104343.92,2.43938,76.28749
2020-07-31,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-01,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-02,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-03,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-04,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-05,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-06,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-07,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-08,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-09,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-10,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-11,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-12,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-13,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-14,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-15,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-16,204343.92,100000.0,104343.92,0.0,76.28749
2020-08-17,196125.19,100000.0,96125.19,-4.02201,72.26548
2020-08-18,198037.22,100000.0,98037.22,0.9749,73.24039
2020-08-19,199246.08,100000.0,99246.08,0.61042,73.85081
2020-08-20,199859.88,100000.0,99859.88,0.30806,74.15887
2020-08-21,200561.37,100000.0,100561.37,0.35099,74.50986
2020-08-22,200561.37,100000.0,100561.37,0.0,74.50986
2020-08-23,200561.37,100000.0,100561.37,0.0,74.50986
2020-08-24,200561.37,100000.0,100561.37,0.0,74.50986
2020-08-25,202323.25,100000.0,102323.25,0.87847,75.38833
2020-08-26,203594.91,100000.0,103594.91,0.62853,76.01686
2020-08-27,203594.91,100000.0,103594.91,0.0,76.01686
2020-08-28,200493.99,100000.0,100493.99,-1.52308,74.49378
2020-08-29,200493.99,100000.0,100493.99,0.0,74.49378
2020-08-30,200493.99,100000.0,100493.99,0.0,74.49378
2020-08-31,201187.66,100000.0,101187.66,0.34598,74.83976
2020-09-01,202204.78,100000.0,102204.78,0.50556,75.34532
2020-09-02,199303.94,100000.0,99303.94,-1.43461,73.91071
